id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1348331823777120258,1348331823777120258,2021-01-10 19:12:12 CET,2021-01-10,19:12:12,+0100,899671109393682432,austinfc,Austin FC,,Ready to go in the ATX.   Rain or shine...  Or SNOW! ☃️💚  https://t.co/qK6wNjKuW0,en,[],[],"['https://pbs.twimg.com/media/ErY8pGeXEAEFzlB.jpg', 'https://pbs.twimg.com/media/ErY8pGdXIAMyjmw.jpg', 'https://pbs.twimg.com/media/ErY8pGfWMAEJfgG.jpg']",8,51,565,[],[],https://twitter.com/AustinFC/status/1348331823777120258,False,,1,https://pbs.twimg.com/media/ErY8pGeXEAEFzlB.jpg,,,,,,,[],,,,
1347962771846148096,1347921074197909504,2021-01-09 18:45:43 CET,2021-01-09,18:45:43,+0100,899671109393682432,austinfc,Austin FC,,@PoznanWill 👋  https://t.co/oJVynx4PqK should help!,en,[],['http://mlsstore.com'],[],1,0,4,[],[],https://twitter.com/AustinFC/status/1347962771846148096,False,,0,,,,,,,,"[{'screen_name': 'PoznanWill', 'name': 'William Hickling', 'id': '1210797336'}]",,,,
1347921074197909504,1347921074197909504,2021-01-09 16:00:01 CET,2021-01-09,16:00:01,+0100,899671109393682432,austinfc,Austin FC,,"Talent. Experience. Leadership.  But we're not done yet, Austin.   Several new players have joined us in the last few weeks, so we had @AdrianHealey break it all down for y'all.  https://t.co/7A4lo4sDXB",en,"[{'screen_name': 'adrianhealey', 'name': 'adrian healey', 'id': '184931855'}]",[],[],5,39,315,[],[],https://twitter.com/AustinFC/status/1347921074197909504,False,,1,https://pbs.twimg.com/media/ErP77Y0XMAAasPX.jpg,,,,,,,[],,,,
1347710635359039488,1347710635359039488,2021-01-09 02:03:49 CET,2021-01-09,02:03:49,+0100,899671109393682432,austinfc,Austin FC,,Sunset views feel different now.  https://t.co/0Przk1AjJ3,en,[],[],[],18,52,519,[],[],https://twitter.com/AustinFC/status/1347710635359039488,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1347710605302628352/pu/img/e3iB70A_bLmut-_C.jpg,,,,,,,[],,,,
1347628534404153345,1347628534404153345,2021-01-08 20:37:34 CET,2021-01-08,20:37:34,+0100,899671109393682432,austinfc,Austin FC,,The family has certainly grown quickly.  Get to know the guys! ⬇️,en,[],[],[],2,10,82,[],[],https://twitter.com/AustinFC/status/1347628534404153345,False,,0,,,,,,,,[],,,,
1347193689668521988,1347193687936217088,2021-01-07 15:49:39 CET,2021-01-07,15:49:39,+0100,899671109393682432,austinfc,Austin FC,,Breaking it down here.  https://t.co/UCBAPUub3v,en,[],['http://soc.cr/Q6XW50D1Ulu'],[],0,0,9,[],[],https://twitter.com/AustinFC/status/1347193689668521988,False,,0,,,,,,,,[],,,,
1347193687936217088,1347193687936217088,2021-01-07 15:49:39 CET,2021-01-07,15:49:39,+0100,899671109393682432,austinfc,Austin FC,,".@xbleu7 sitting in third with a 6-1-1 record after two rounds of qualifiers. Two more next week!   Following the four rounds, the Top 8 will advance to the League Series 1 Live Stream.  https://t.co/s3uMurUaQJ",en,"[{'screen_name': 'xbleu7', 'name': 'john', 'id': '777715131480276992'}]",[],['https://pbs.twimg.com/media/ErIxhJjXYAI0ONm.jpg'],4,2,36,[],[],https://twitter.com/AustinFC/status/1347193687936217088,False,,1,https://pbs.twimg.com/media/ErIxhJjXYAI0ONm.jpg,,,,,,,[],,,,
1346840488805019649,1346840236270223366,2021-01-06 16:26:10 CET,2021-01-06,16:26:10,+0100,899671109393682432,austinfc,Austin FC,,Us after watching this:  https://t.co/y8Dd8QVbz0,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/ErDwPdRWMAAx8DX.jpg'],0,7,70,[],[],https://twitter.com/AustinFC/status/1346840488805019649,False,,1,https://pbs.twimg.com/tweet_video_thumb/ErDwPdRWMAAx8DX.jpg,,,,,,,[],,,,
1346840236270223366,1346840236270223366,2021-01-06 16:25:10 CET,2021-01-06,16:25:10,+0100,899671109393682432,austinfc,Austin FC,,.@MattBesler is officially official. 💚  https://t.co/BwtzFJJczm,en,"[{'screen_name': 'mattbesler', 'name': 'matt besler', 'id': '105293348'}]",[],[],9,19,208,[],[],https://twitter.com/AustinFC/status/1346840236270223366,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1346837150332047361/pu/img/b8WqPfbJ3xI1RqNE.jpg,,,,,,,[],,,,
1346834847982120962,1346829019770183682,2021-01-06 16:03:45 CET,2021-01-06,16:03:45,+0100,899671109393682432,austinfc,Austin FC,,"@MattBesler @McConaughey Yep, this looks good.  https://t.co/D0HlNin3ig",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/ErDq9TLWMAEfkKV.jpg'],1,4,96,[],[],https://twitter.com/AustinFC/status/1346834847982120962,False,,1,https://pbs.twimg.com/tweet_video_thumb/ErDq9TLWMAEfkKV.jpg,,,,,,,"[{'screen_name': 'MattBesler', 'name': 'Matt Besler', 'id': '105293348'}, {'screen_name': 'McConaughey', 'name': 'Matthew McConaughey', 'id': '57097104'}]",,,,
1346832639626510336,1346831004246401026,2021-01-06 15:54:58 CET,2021-01-06,15:54:58,+0100,899671109393682432,austinfc,Austin FC,,"• 47 caps for the #USMNT • 2014 FIFA World Cup roster • MLS and U.S. Open Cup Champion • MLS All-Star, Best XI and Defender of the Year.   https://t.co/xDuuRpzcSK",en,[],['https://www.austinfc.com/post/2021/01/06/austin-fc-acquires-sporting-kansas-city-captain-matt-besler-free-agency'],[],3,17,143,['usmnt'],[],https://twitter.com/AustinFC/status/1346832639626510336,False,,0,,,,,,,,[],,,,
1346831004246401026,1346831004246401026,2021-01-06 15:48:28 CET,2021-01-06,15:48:28,+0100,899671109393682432,austinfc,Austin FC,,"Matt is #VERDE! 🌳 Welcome to Austin FC, @MattBesler!  https://t.co/JY1vAVB8Am",en,"[{'screen_name': 'mattbesler', 'name': 'matt besler', 'id': '105293348'}]",[],[],46,114,853,['verde'],[],https://twitter.com/AustinFC/status/1346831004246401026,False,,1,https://pbs.twimg.com/amplify_video_thumb/1346830540360605696/img/82TrS8drmc3KtLht.jpg,,,,,,,[],,,,
1346689520901754880,1346689520901754880,2021-01-06 06:26:16 CET,2021-01-06,06:26:16,+0100,899671109393682432,austinfc,Austin FC,,"Hello there, top of the table.  Four games. Four Ws. @xbleu7 on 🔥",en,"[{'screen_name': 'xbleu7', 'name': 'john', 'id': '777715131480276992'}]",[],[],0,5,76,[],[],https://twitter.com/AustinFC/status/1346689520901754880,False,https://twitter.com/eMLS/status/1346683567414370304,0,,,,,,,,[],,,,
1346669766161870848,1346669284705984512,2021-01-06 05:07:46 CET,2021-01-06,05:07:46,+0100,899671109393682432,austinfc,Austin FC,,@xbleu7 💪🌳,und,[],[],[],0,1,8,[],[],https://twitter.com/AustinFC/status/1346669766161870848,False,,0,,,,,,,,"[{'screen_name': 'xbleu7', 'name': 'John', 'id': '777715131480276992'}]",,,,
1346669345385099264,1346668145818431488,2021-01-06 05:06:06 CET,2021-01-06,05:06:06,+0100,899671109393682432,austinfc,Austin FC,,🎮 Just getting started. 🎮  Check out the full schedule and all results right here.  https://t.co/mJV4lnttbn,en,[],['https://www.mlssoccer.com/post/2021/01/05/emls-league-series-one-preview-how-watch-stream-and-follow-action'],[],0,3,13,[],[],https://twitter.com/AustinFC/status/1346669345385099264,False,,0,,,,,,,,[],,,,
1346668145818431488,1346668145818431488,2021-01-06 05:01:20 CET,2021-01-06,05:01:20,+0100,899671109393682432,austinfc,Austin FC,,"The 2021 @eMLS season is off to a GREAT start. Let’s keep this going, @xbleu7!  https://t.co/ABiDCEZvTj",en,"[{'screen_name': 'emls', 'name': '🎮 major league soccer', 'id': '922506058865704960'}, {'screen_name': 'xbleu7', 'name': 'john', 'id': '777715131480276992'}]",[],['https://pbs.twimg.com/media/ErBTbcgXUAMLSKK.jpg'],5,8,119,[],[],https://twitter.com/AustinFC/status/1346668145818431488,False,,1,https://pbs.twimg.com/media/ErBTbcgXUAMLSKK.jpg,,,,,,,[],,,,
1346527333457473537,1346527333457473537,2021-01-05 19:41:48 CET,2021-01-05,19:41:48,+0100,899671109393682432,austinfc,Austin FC,,For Club and Country 🇺🇸  Goalkeeper Brady Scott joins the U-23 #USMNT in Florida.,en,[],[],[],3,8,190,['usmnt'],[],https://twitter.com/AustinFC/status/1346527333457473537,False,,0,,,,,,,,[],,,,
1346519442700824587,1346516687634509825,2021-01-05 19:10:26 CET,2021-01-05,19:10:26,+0100,899671109393682432,austinfc,Austin FC,,@USYNT @USMNT 👋 Brady Scott!,en,[],[],[],0,3,26,[],[],https://twitter.com/AustinFC/status/1346519442700824587,False,,0,,,,,,,,"[{'screen_name': 'USYNT', 'name': 'U.S. Soccer YNT', 'id': '247033343'}, {'screen_name': 'USMNT', 'name': 'U.S. Soccer MNT', 'id': '7563792'}]",,,,
1346495677539475464,1346482840444178433,2021-01-05 17:36:00 CET,2021-01-05,17:36:00,+0100,899671109393682432,austinfc,Austin FC,,Bien dicho. 👏  ¡Vámos con todo!  https://t.co/RXiTHxJfAs,es,[],[],[],0,6,42,[],[],https://twitter.com/AustinFC/status/1346495677539475464,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1346494990076276741/pu/img/3tSO1hz9KIkgtaDr.jpg,,,,,,,[],,,,
1346491249952493571,1346482840444178433,2021-01-05 17:18:25 CET,2021-01-05,17:18:25,+0100,899671109393682432,austinfc,Austin FC,,Couldn't have said it better ourselves.   Let's make this special. 👍  https://t.co/RZhz6GFmhQ,en,[],[],[],2,9,85,[],[],https://twitter.com/AustinFC/status/1346491249952493571,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1346484565238558721/pu/img/ssRmbkr5S66rSwwr.jpg,,,,,,,[],,,,
1346482840444178433,1346482840444178433,2021-01-05 16:45:00 CET,2021-01-05,16:45:00,+0100,899671109393682432,austinfc,Austin FC,,Youngest player to reach 100 appearances in MLS history. Youngest player to score 25 goals in the league.  https://t.co/1AS2IrujYC,en,[],[],[],3,25,231,[],[],https://twitter.com/AustinFC/status/1346482840444178433,False,,1,https://pbs.twimg.com/amplify_video_thumb/1346477009464041475/img/Bizyoc4p6n-_F0Zo.jpg,,,,,,,[],,,,
1346477335919296514,1346472377920540674,2021-01-05 16:23:07 CET,2021-01-05,16:23:07,+0100,899671109393682432,austinfc,Austin FC,,@DiegolFagundez Let’s do this. 🌳,en,[],[],[],1,1,27,[],[],https://twitter.com/AustinFC/status/1346477335919296514,False,,0,,,,,,,,"[{'screen_name': 'DiegolFagundez', 'name': 'Diego Fagundez', 'id': '1296545112705703937'}]",,,,
1346476212219072512,1346471516708298761,2021-01-05 16:18:39 CET,2021-01-05,16:18:39,+0100,899671109393682432,austinfc,Austin FC,,Adding a young talent with a plethora of experience.  https://t.co/4kTtw0fRZ9,en,[],['https://www.austinfc.com/post/2021/01/05/austin-fc-acquires-25-year-old-free-agent-diego-fagundez'],[],2,13,65,[],[],https://twitter.com/AustinFC/status/1346476212219072512,False,,0,,,,,,,,[],,,,
1346471516708298761,1346471516708298761,2021-01-05 16:00:00 CET,2021-01-05,16:00:00,+0100,899671109393682432,austinfc,Austin FC,,"Diego is #VERDE! 🌳 Welcome to Austin FC, Diego Fagundez!  https://t.co/fZWRBBSdMZ",en,[],[],[],23,83,505,['verde'],[],https://twitter.com/AustinFC/status/1346471516708298761,False,,1,https://pbs.twimg.com/amplify_video_thumb/1346466147923861504/img/TTuHCvV8wcUm52xu.jpg,,,,,,,[],,,,
1346246021412777992,1346245450987425799,2021-01-05 01:03:58 CET,2021-01-05,01:03:58,+0100,899671109393682432,austinfc,Austin FC,,@APrecourt Y’all... you know what this means.,en,[],[],[],8,3,58,[],[],https://twitter.com/AustinFC/status/1346246021412777992,False,,0,,,,,,,,"[{'screen_name': 'APrecourt', 'name': 'Anthony Precourt', 'id': '1558263829'}]",,,,
1346218681181876224,1346188664821469184,2021-01-04 23:15:19 CET,2021-01-04,23:15:19,+0100,899671109393682432,austinfc,Austin FC,,@SoccerCooligans 💚,und,[],[],[],0,1,9,[],[],https://twitter.com/AustinFC/status/1346218681181876224,False,,0,,,,,,,,"[{'screen_name': 'SoccerCooligans', 'name': 'The Cooligans', 'id': '3057167124'}]",,,,
1345747746989330432,1345747746989330432,2021-01-03 16:04:00 CET,2021-01-03,16:04:00,+0100,899671109393682432,austinfc,Austin FC,,"Alright (x3). Who's ready?  2021, let's do this.  https://t.co/ieb8GvHzAq",en,[],[],"['https://pbs.twimg.com/media/Ep9H65EXYAcWZ5n.jpg', 'https://pbs.twimg.com/media/Ep9H8_5XEAAcyKK.jpg', 'https://pbs.twimg.com/media/Ep9ICAUXYBALj7Q.jpg', 'https://pbs.twimg.com/media/Ep9IHyWXMAAYs5L.jpg']",34,66,746,[],[],https://twitter.com/AustinFC/status/1345747746989330432,False,,1,https://pbs.twimg.com/media/Ep9H65EXYAcWZ5n.jpg,,,,,,,[],,,,
1344886076222050305,1344886076222050305,2021-01-01 07:00:02 CET,2021-01-01,07:00:02,+0100,899671109393682432,austinfc,Austin FC,,"#HappyNewYear. Happy Inaugural Year.  It's our turn now, Austin 🌳  https://t.co/aB7eTFScnZ",en,[],[],[],15,103,640,['happynewyear'],[],https://twitter.com/AustinFC/status/1344886076222050305,False,,1,https://pbs.twimg.com/media/Ep9C4d_XEAARHqB.jpg,,,,,,,[],,,,
1344782693544972290,1344447894439538694,2021-01-01 00:09:13 CET,2021-01-01,00:09:13,+0100,899671109393682432,austinfc,Austin FC,,"All three players contributed in the tournament run that placed them in Wednesday’s championship match, with Domínguez scoring the deciding goal in Guaraní’s opener against Libertad on Dec. 23.   https://t.co/IwZh1b51hD",en,[],['https://www.austinfc.com/post/2020/12/31/austin-fc-players-put-valiant-effort-paraguayan-final'],[],1,1,34,[],[],https://twitter.com/AustinFC/status/1344782693544972290,False,,0,,,,,,,,[],,,,
1344447894439538694,1344447894439538694,2020-12-31 01:58:51 CET,2020-12-31,01:58:51,+0100,899671109393682432,austinfc,Austin FC,,"Hard-fought final for Club Guaraní. Proud of @10_dominguez94, @RodneyRedes &amp; Jhohan Romaña. See you soon, y’all. 👏",en,"[{'screen_name': '10_dominguez94', 'name': 'cecilio dominguez', 'id': '2326738113'}, {'screen_name': 'rodneyredes', 'name': 'rodney_redes', 'id': '999779499322564608'}]",[],[],3,1,85,[],[],https://twitter.com/AustinFC/status/1344447894439538694,False,https://twitter.com/ClubGuarani/status/1344444557107343360,0,,,,,,,,[],,,,
1344350037158092800,1344350037158092800,2020-12-30 19:30:00 CET,2020-12-30,19:30:00,+0100,899671109393682432,austinfc,Austin FC,,*insert heart eyes*  🌳🌳🌳 soon 🌳🌳🌳  https://t.co/PJ6U8UDxwI,en,[],[],['https://pbs.twimg.com/media/Ep9Im4DWwAMxCtD.jpg'],21,67,999,[],[],https://twitter.com/AustinFC/status/1344350037158092800,False,,1,https://pbs.twimg.com/media/Ep9Im4DWwAMxCtD.jpg,,,,,,,[],,,,
1344055596866125824,1344055596866125824,2020-12-30 00:00:00 CET,2020-12-30,00:00:00,+0100,899671109393682432,austinfc,Austin FC,,"Looking to close out the year with some new hardware. 🏆  On Wednesday, Dec. 30, @10_dominguez94, @RodneyRedes, Jhohan Romaña and @ClubGuarani will take on Olimpia in the Copa de Primera Final.",en,"[{'screen_name': '10_dominguez94', 'name': 'cecilio dominguez', 'id': '2326738113'}, {'screen_name': 'rodneyredes', 'name': 'rodney_redes', 'id': '999779499322564608'}, {'screen_name': 'clubguarani', 'name': 'club guarani', 'id': '88731398'}]",[],[],2,15,175,[],[],https://twitter.com/AustinFC/status/1344055596866125824,False,,0,,,,,,,,[],,,,
1343588570297217027,1343583737489969154,2020-12-28 17:04:12 CET,2020-12-28,17:04:12,+0100,899671109393682432,austinfc,Austin FC,,"Excited to have you here in Austin, @brad_stuver! 👋  https://t.co/K1px0dqKIP",en,"[{'screen_name': 'brad_stuver', 'name': 'brad stuver', 'id': '277077823'}]",[],[],4,4,70,[],[],https://twitter.com/AustinFC/status/1343588570297217027,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1343588316520841216/pu/img/pWc_tTbMXL5HiUWZ.jpg,,,,,,,[],,,,
1343583737489969154,1343583737489969154,2020-12-28 16:45:00 CET,2020-12-28,16:45:00,+0100,899671109393682432,austinfc,Austin FC,,"Leadership, on and off the field.  Welcome, Brad!  https://t.co/9FgiyjW2u7",en,[],[],[],3,22,168,[],[],https://twitter.com/AustinFC/status/1343583737489969154,False,,1,https://pbs.twimg.com/amplify_video_thumb/1343570030907314178/img/73dbTVXpfIeCqhro.jpg,,,,,,,[],,,,
1343575354523471876,1343572413506850816,2020-12-28 16:11:41 CET,2020-12-28,16:11:41,+0100,899671109393682432,austinfc,Austin FC,,Our GK Union just got deeper. Brad brings a strong presence on and off the field and good command of the penalty box.  https://t.co/dFrqBKEEcP,en,[],['https://www.austinfc.com/post/2020/12/28/austin-fc-acquires-free-agent-goalkeeper-brad-stuver'],[],0,9,41,[],[],https://twitter.com/AustinFC/status/1343575354523471876,False,,0,,,,,,,,[],,,,
1343572413506850816,1343572413506850816,2020-12-28 16:00:00 CET,2020-12-28,16:00:00,+0100,899671109393682432,austinfc,Austin FC,,"Brad is #VERDE! 🌳 Welcome to Austin FC, @brad_stuver!  https://t.co/BmczDQSOpz",en,"[{'screen_name': 'brad_stuver', 'name': 'brad stuver', 'id': '277077823'}]",[],[],19,45,284,['verde'],[],https://twitter.com/AustinFC/status/1343572413506850816,False,,1,https://pbs.twimg.com/amplify_video_thumb/1343570126231265280/img/WncXxlnXPDcu7Bxf.jpg,,,,,,,[],,,,
1343557568543805440,1343557568543805440,2020-12-28 15:01:01 CET,2020-12-28,15:01:01,+0100,899671109393682432,austinfc,Austin FC,,"On to the Copa de Primera final. Congrats to @ClubGuarani, and to @10_dominguez94, Jhohan Romaña and Rodney Reyes 👏",en,"[{'screen_name': 'clubguarani', 'name': 'club guarani', 'id': '88731398'}, {'screen_name': '10_dominguez94', 'name': 'cecilio dominguez', 'id': '2326738113'}]",[],[],3,14,154,[],[],https://twitter.com/AustinFC/status/1343557568543805440,False,https://twitter.com/ClubGuarani/status/1343384307495284737,0,,,,,,,,[],,,,
1343210025079074817,1343210025079074817,2020-12-27 16:00:00 CET,2020-12-27,16:00:00,+0100,899671109393682432,austinfc,Austin FC,,"These beauties were introduced around town as part of a @4ATXFoundation project to restore goals throughout Austin. Expect to see more of these in 2021 as we continue to turn Austin #VERDE, one pitch at a time.  https://t.co/5of3o2SWy2",en,"[{'screen_name': '4atxfoundation', 'name': '4atx foundation', 'id': '1113465788621623297'}]",[],[],5,16,163,['verde'],[],https://twitter.com/AustinFC/status/1343210025079074817,False,,1,https://pbs.twimg.com/media/Ep8-ebjXIAcFJuQ.jpg,,,,,,,[],,,,
